2	0	5.102158e-05	100.00%	11
3	2	1.931190e-04	100.00%	111
4	1	9.417534e-05	100.00%	1111
5	0	3.099442e-05	100.00%	11111
6	0	3.123283e-05	100.00%	111111
7	5	4.138947e-04	100.00%	1111111
8	19	1.570940e-03	100.00%	11111111
9	18	1.571894e-03	100.00%	111111111
10	17	1.604080e-03	100.00%	1111111111
11	20	2.052069e-03	100.00%	11111111111
12	10	1.188993e-03	100.00%	111111111111
13	21	2.374887e-03	100.00%	1111111111111
14	4	5.030632e-04	100.00%	11111111111111
15	96	1.208496e-02	100.00%	111111111111111
16	25	3.101826e-03	100.00%	1111111111111111
17	33	4.538774e-03	100.00%	11111111111111111
18	40	5.700827e-03	100.00%	111111111111111111
19	49	7.942200e-03	100.00%	1111111111111111111
20	36	7.167816e-03	100.00%	11111111111111111111
21	20	3.459215e-03	100.00%	111111111111111111111
22	33	5.706072e-03	100.00%	1111111111111111111111
23	38	6.607056e-03	100.00%	11111111111111111111111
24	35	5.865812e-03	100.00%	111111111111111111111111
25	38	6.743908e-03	100.00%	1111111111111111111111111
26	50	9.206057e-03	100.00%	11111111111111111111111111
27	88	1.678395e-02	100.00%	111111111111111111111111111
28	46	8.787870e-03	100.00%	1111111111111111111111111111
29	82	1.683426e-02	100.00%	11111111111111111111111111111
30	59	1.217031e-02	100.00%	111111111111111111111111111111
31	80	1.852107e-02	100.00%	1111111111111111111111111111111
32	99	2.358413e-02	99.43%	11011111111111111111111111111111
33	99	2.519178e-02	99.82%	011111111111111111111111111111111
34	99	2.589989e-02	99.66%	1011111111111111111111111111111111
35	70	1.873469e-02	100.00%	11111111111111111111111111111111111
36	71	2.013206e-02	100.00%	111111111111111111111111111111111111
37	73	1.916003e-02	100.00%	1111111111111111111111111111111111111
38	76	2.128983e-02	100.00%	11111111111111111111111111111111111111
39	84	2.557898e-02	100.00%	111111111111111111111111111111111111111
40	81	2.345490e-02	100.00%	1111111111111111111111111111111111111111
41	87	2.540302e-02	100.00%	11111111111111111111111111111111111111111
42	99	3.640199e-02	99.89%	011111111111111111111111111111111111111111
43	99	3.044605e-02	98.20%	1101111111111011111111111111111111111111111
44	99	3.090310e-02	96.06%	01111111011111111111111111110111111111111111
45	99	3.294301e-02	99.90%	011111111111111111111111111111111111111111111
46	81	2.606702e-02	100.00%	1111111111111111111111111111111111111111111111
47	99	3.204203e-02	98.67%	11110111101111111111111111111111111111111111111
48	99	3.164911e-02	96.85%	110101111111111111111111111101111111111111111111
49	99	3.111720e-02	99.43%	1011011111111111111111111111111111111111111111111
50	99	3.234673e-02	98.51%	11011101011111111111111111111111111111111111111111
51	99	3.581500e-02	99.92%	011111111111111111111111111111111111111111111111111
52	99	3.642201e-02	95.65%	1111101011111011111111111111111011111111111111111111
53	99	3.692603e-02	98.46%	10111111111111111110111111111111111111111111111111111
54	99	3.501630e-02	96.70%	111011011101111111111111110111111111111111111111111111
55	99	3.607297e-02	93.83%	0111111111111111111101111111111111100111111111111111111
56	99	3.757381e-02	98.12%	01101111011111101111111111111111111111111111111111111111
57	99	4.612088e-02	94.98%	110111110111111111101111111111111111111111111111110111111
58	99	3.814006e-02	92.34%	0111111110111110011101111011111111111110111111111111111111
59	99	3.680205e-02	98.25%	11111001111111111011111111111111111111111111111111111111111
60	99	3.802681e-02	95.96%	111110111011011110111111110111111111111111111111111111111111
61	99	3.986478e-02	96.72%	0101101111111011101011111111111111111111111111111111111111111
62	99	3.804088e-02	96.88%	11101110100111111111111111101111111111111111111111111111111111
63	99	4.096889e-02	98.56%	011111111110111011111111111111111111111111111111111111111111111
64	99	4.296398e-02	97.93%	1111011010111111111011111111111111111111111111111111111111111111
65	99	4.024220e-02	89.56%	01101001110110111111011110111111111110011111111111111111011111111
66	99	4.242611e-02	92.72%	010111111111111101111111011111101111111011011111111111111111111111
67	99	4.508090e-02	94.78%	1110001101111100111111111111011111011111111111111111111111111111111
68	99	4.606509e-02	97.02%	11111011101111100111011111111111111111111111111111111111111111111111
69	99	5.235720e-02	94.20%	011110111111110101111111111111111111111111111111011011111111111111111
70	99	4.499912e-02	91.75%	1101111000011110111110111111111101111111101111111101111111111111111111
71	99	4.651713e-02	96.75%	00011010111111101111101101111111111111111111111111111111111111111111111
72	99	5.208015e-02	97.68%	011001111111110011101111111111111111111111111111111111111111111111111111
73	99	4.808116e-02	92.52%	1000011101111111100111101111111111001111111111011111111111111111111111111
74	99	4.666686e-02	93.73%	10001011111111111101111111101010111111111111111110111111111111111111111111
75	99	4.689217e-02	95.75%	100011111110111111111111011111011111111111101111111111111111111111111111111
76	99	4.814911e-02	94.40%	1110000111111111111111011111111111111111111111111111111101111011111111111111
77	99	4.909420e-02	91.18%	11111111100111111111101111110110111111111111111101110111110111111111111111111
78	99	5.132508e-02	96.85%	101111111001001101111111111110111111111111111111111111111111111111111111111111
79	99	5.877304e-02	86.93%	1011011101111100110111111011111101001111111111101111110010111111111111111111111
